title,artist
all too well (taylor's version),taylor swift
easy on me,adele
stay,the kid laroi & justin bieber
industry baby,lil nas x & jack harlow
smokin out the window,silk sonic (bruno mars & anderson .paak)
bad habits,ed sheeran
shivers,ed sheeran
heat waves,glass animals
need to know,doja cat
fancy like,walker hayes
cold heart (pnau remix),elton john & dua lipa
way 2 sexy,drake featuring future & young thug
good 4 u,olivia rodrigo
you right,doja cat & the weeknd
essence,wizkid featuring justin bieber & tems
beggin',maneskin
levitating,dua lipa
state of grace (taylor's version),taylor swift
one right now,post malone & the weeknd
already dead,juice wrld
kiss me more,doja cat featuring sza
i bet you think about me (taylor's version) (from the vault),taylor swift featuring chris stapleton
leave the door open,silk sonic (bruno mars & anderson .paak)
if i didn't love you,jason aldean & carrie underwood
red (taylor's version),taylor swift
save your tears,the weeknd & ariana grande
knife talk,drake featuring 21 savage & project pat
meet me at our spot,the anxiety: willow & tyler cole
better days,neiked x mae muller x polo g
thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter
girls want girls,drake featuring lil baby
cold as you,luke combs
ghost,justin bieber
love nwantiti (ah ah ah),ckay
chasing after you,ryan hurd with maren morris
all i want for christmas is you,mariah carey
my universe,coldplay x bts
buy dirt,jordan davis featuring luke bryan
thats what i want,lil nas x
happier than ever,billie eilish
pepas,farruko
you should probably leave,chris stapleton
nothing new (taylor's version) (from the vault),taylor swift featuring phoebe bridgers
who want smoke??,"nardo wick featuring g herbo, lil durk & 21 savage"
message in a bottle (taylor's version) (from the vault),taylor swift
i knew you were trouble (taylor's version),taylor swift
run (taylor's version) (from the vault),taylor swift featuring ed sheeran
montero (call me by your name),lil nas x
bad man (smooth criminal),polo g
same boat,zac brown band
better man (taylor's version) (from the vault),taylor swift
22 (taylor's version),taylor swift
doin' this,luke combs
treacherous (taylor's version),taylor swift
we are never ever getting back together (taylor's version),taylor swift
no love,summer walker & sza
wild side,normani featuring cardi b
have mercy,chloe
i almost do (taylor's version),taylor swift
chosen,blxst & tyga featuring ty dolla $ign
the very first night (taylor's version) (from the vault),taylor swift
family ties,baby keem & kendrick lamar
everything has changed (taylor's version),taylor swift featuring ed sheeran
sand in my boots,morgan wallen
gyalis,capella grey
the last time (taylor's version),taylor swift featuring gary lightbody of snow patrol
stay stay stay (taylor's version),taylor swift
after last night,silk sonic (bruno mars & anderson .paak) with thundercat & bootsy collins
babe (taylor's version) (from the vault),taylor swift
sharing locations,meek mill featuring lil baby & lil durk
escape plan,travis scott
one mississippi,kane brown
blast off,silk sonic (bruno mars & anderson .paak)
knowing you,kenny chesney
skate,silk sonic (bruno mars & anderson .paak)
holy ground (taylor's version),taylor swift
begin again (taylor's version),taylor swift
put on a smile,silk sonic (bruno mars & anderson .paak)
forever winter (taylor's version) (from the vault),taylor swift
whiskey and rain,michael ray
fly as me,silk sonic (bruno mars & anderson .paak)
super gremlin,kodak black
the moment i knew (taylor's version),taylor swift
the lucky one (taylor's version),taylor swift
sad beautiful tragic (taylor's version),taylor swift
fair trade,drake featuring travis scott
come back...be here (taylor's version),taylor swift
sad girlz luv money,amaarae & moliy featuring kali uchis
tequila little time,jon pardi
starlight (taylor's version),taylor swift
bubbly,young thug with drake & travis scott
ex for a reason,summer walker & jt
freedom was a highway,jimmie allen & brad paisley
la fama,rosalia featuring the weeknd
big energy,latto
moth to a flame,swedish house mafia & the weeknd
'til you can't,cody johnson
woman,doja cat
take my breath,the weeknd
for tonight,giveon
